,imdbId,Title,IMDB Score,Genre
120,103859,Boomerang (1992),5.4,Comedy|Drama|Romance
121,109424,Chungking Express (1994),8.1,Comedy|Drama|Romance
123,116324,Flirting with Disaster (1996),6.8,Comedy
126,110217,Jupiter's Wife (1995),7.2,Documentary|Biography|Mystery
127,114131,Pie in the Sky (1996),5.8,Comedy|Romance
128,112364,Angela (1995),6.4,Drama
129,113107,Frankie Starlight (1995),6.7,Drama|Romance|War
130,113451,Jade (1995),5.2,Crime|Drama|Thriller
132,114500,Sonic Outlaws (1995),7.3,Documentary
133,116130,Down Periscope (1996),6.0,Comedy
134,113125,From the Journals of Jean Seberg (1995),7.1,Documentary|Biography
135,113756,Man of the Year (1995),6.1,Comedy|Romance
136,113952,The Neon Bible (1995),6.2,Drama
138,118055,Up Close & Personal (1996),6.1,Drama|Romance
139,115685,The Birdcage (1996),7.0,Comedy
141,113200,Gospa (1995),5.1,Drama
142,112585,The Brothers McMullen (1995),6.6,Comedy|Drama|Romance
143,112442,Bad Boys (1995),6.8,Action|Comedy|Crime
144,112342,The Amazing Panda Adventure (1995),5.8,Family|Adventure|Drama
145,112461,The Basketball Diaries (1995),7.3,Biography|Crime|Drama
146,112427,An Awfully Big Adventure (1995),6.0,Comedy|Drama|Romance
148,112384,Apollo 13 (1995),7.6,Adventure|Drama|History
149,114287,Rob Roy (1995),6.9,Adventure|Biography|History
150,112288,The Addiction (1995),6.4,Horror
152,61395,Belle de Jour (1967),7.8,Drama
153,112495,Beyond Rangoon (1995),6.6,Action|Drama
155,109370,Canadian Bacon (1995),5.9,Comedy
156,112642,Casper (1995),6.0,Comedy|Family|Fantasy
157,112688,Clockers (1995),6.9,Crime|Drama|Mystery
158,112715,Congo (1995),5.1,Action|Adventure|Mystery
159,112740,Crimson Tide (1995),7.3,Action|Drama|Thriller
161,112851,Desperado (1995),7.2,Action|Thriller
163,112864,Die Hard with a Vengeance (1995),7.6,Action|Adventure|Thriller
164,112887,The Doom Generation (1995),5.9,Action|Comedy|Crime
165,113044,Feast of July (1995),6.4,Crime|Drama|Mystery
166,113071,First Knight (1995),5.9,Action|Adventure|Romance
167,113114,Free Willy 2: The Adventure Home (1995),4.9,Adventure|Drama|Family
168,113243,Hackers (1995),6.2,Comedy|Crime|Drama
169,113464,Jeffrey (1995),6.7,Comedy|Drama
170,113481,Johnny Mnemonic (1995),5.6,Action|Crime|Sci-Fi
171,113492,Judge Dredd (1995),5.5,Action|Crime|Sci-Fi
172,113500,Jury Duty (1995),4.1,Comedy
173,113540,Kids (1995),7.0,Drama
174,113677,Living in Oblivion (1995),7.6,Comedy|Drama
175,113690,Lord of Illusions (1995),6.0,Horror|Mystery|Thriller
176,107447,Love & Human Remains (1993),6.7,Drama|Comedy
177,113729,Mad Love (1995),5.3,Drama|Romance
178,113749,Mallrats (1995),7.2,Comedy|Romance
179,113820,Mighty Morphin Power Rangers: The Movie (1995),5.1,Action|Adventure|Family
180,113851,Moonlight and Valentino (1995),5.8,Comedy|Drama|Romance
181,110604,Mute Witness (1995),6.8,Horror|Thriller
182,110620,Nadja (1994),6.0,Drama|Horror
183,113957,The Net (1995),5.9,Action|Crime|Drama
184,113986,Nine Months (1995),5.4,Comedy|Romance
185,114095,Party Girl (1995),6.6,Comedy
186,114194,The Prophecy (1995),6.6,Action|Crime|Drama
187,114241,Reckless (1995),5.1,Comedy|Drama|Fantasy
188,114323,Safe (1995),7.2,Drama
189,114345,The Scarlet Letter (1995),5.2,Drama|Romance
190,114435,The Show (1995),6.8,Documentary|Music
191,114436,Showgirls (1995),4.6,Drama
192,114478,Smoke (1995),7.4,Comedy|Drama
193,114496,Something to Talk About (1995),5.7,Comedy|Drama|Romance
194,114508,Species (1995),5.8,Action|Horror|Sci-Fi
195,114534,The Stars Fell on Henrietta (1995),6.5,Drama
197,58450,The Umbrellas of Cherbourg (1964),7.8,Drama|Musical|Romance
198,114666,The Tie That Binds (1995),5.0,Crime|Drama|Thriller
199,114663,Three Wishes (1995),6.2,Drama|Fantasy
200,114702,Total Eclipse (1995),6.6,Biography|Drama|Romance
201,114682,"To Wong Foo Thanks for Everything, Julie Newmar (1995)",6.4,Comedy|Drama
203,114798,Unstrung Heroes (1995),6.7,Comedy|Drama
204,114805,Unzipped (1995),6.4,Documentary
205,114887,A Walk in the Clouds (1995),6.6,Drama|Romance
206,114898,Waterworld (1995),6.1,Action|Adventure|Sci-Fi
207,114928,White Man's Burden (1995),5.2,Drama|Thriller
208,114938,Wild Bill (1995),5.9,Action|Biography|Western
209,109340,The Browning Version (1994),7.3,Drama
210,112602,Bushwhacked (1995),5.5,Adventure|Comedy|Crime
211,111579,Burnt by the Sun (1994),8.0,Drama|War
212,110882,Before the Rain (1994),8.1,Drama|War
213,112471,Before Sunrise (1995),8.1,Drama|Romance
214,112508,Billy Madison (1995),6.4,Comedy
215,112438,The Babysitter (1995),4.2,Drama|Thriller
216,112571,Boys on the Side (1995),6.4,Comedy|Drama
217,112757,The Cure (1995),7.7,Drama
218,112643,Castle Freak (1995),5.9,Drama|Horror|Mystery
219,112679,Circle of Friends (1995),6.6,Drama|Romance
220,109445,Clerks (1994),7.8,Comedy
221,112883,Don Juan DeMarco (1994),6.7,Comedy|Drama|Romance
224,109676,Drop Zone (1994),5.6,Action|Adventure|Thriller
225,112854,Destiny Turns on the Radio (1995),4.5,Crime|Comedy|Fantasy
227,109642,Dolores Claiborne (1995),7.4,Crime|Drama|Mystery
228,109686,Dumb & Dumber (1994),7.3,Comedy
230,109759,Exotica (1994),7.2,Drama
232,109707,Ed Wood (1994),7.9,Biography|Comedy|Drama
233,113117,French Kiss (1995),6.5,Comedy|Drama|Romance
234,113097,Forget Paris (1995),6.4,Comedy|Romance
236,113198,A Goofy Movie (1995),6.8,Animation|Adventure|Comedy
237,113303,Hideaway (1995),5.3,Fantasy|Horror|Thriller
238,113089,Fluke (1995),6.7,Drama|Family|Fantasy
240,113199,Gordy (1995),3.9,Comedy|Drama|Family
241,113234,Gumby: The Movie (1995),6.2,Animation|Action|Adventure
242,109906,The Glass Shield (1994),6.6,Crime|Drama
243,110057,Hoop Dreams (1994),8.3,Documentary|Drama|Sport
244,110005,Heavenly Creatures (1994),7.4,Biography|Crime|Drama
245,110066,Houseguest (1995),5.9,Comedy
246,110116,Immortal Beloved (1994),7.5,Biography|Drama|Music
247,110006,Heavy Weights (1995),6.7,Comedy|Drama|Family
248,113360,The Hunted (1995),5.9,Action|Drama|Thriller
249,110099,I.Q. (1994),6.2,Comedy|Romance
250,110148,Interview with the Vampire: The Vampire Chronicles (1994),7.6,Drama|Fantasy|Horror
251,113463,Jefferson in Paris (1995),5.7,Biography|Drama|History
252,110189,The Jerky Boys (1995),4.6,Comedy|Crime
253,110216,Junior (1994),4.5,Comedy|Romance|Sci-Fi
254,113501,Just Cause (1995),6.4,Action|Crime|Drama
256,113552,Kiss of Death (1995),5.9,Action|Crime|Thriller
259,113670,A Little Princess (1995),7.7,Drama|Family|Fantasy
260,110296,Ladybird Ladybird (1994),7.5,Drama
261,109731,L'Enfer (1994),7.2,Crime|Drama|Thriller
262,103994,Como agua para chocolate (1992),7.2,Drama|Romance
263,110322,Legends of the Fall (1994),7.5,Drama|Romance|War
264,110443,Major Payne (1995),6.1,Adventure|Comedy|Family
265,110365,Little Odessa (1994),6.8,Crime|Drama
266,107566,Mi vida loca (1993),6.5,Crime|Drama
267,110391,Love Affair (1994),5.9,Comedy|Drama|Romance
268,113691,Losing Isaiah (1995),6.4,Drama
269,110428,The Madness of King George (1994),7.2,Biography|Comedy|Drama
270,109836,Mary Shelley's Frankenstein (1994),6.4,Drama|Horror|Romance
271,113755,Man of the House (1995),5.0,Comedy|Family
273,110516,Milk Money (1994),5.5,Comedy|Romance
274,110527,Miracle on 34th Street (1994),6.4,Family|Fantasy
276,113896,My Family (1995),7.3,Drama
278,110684,Nobody's Fool (1994),7.4,Comedy|Drama
279,110638,Nell (1994),6.5,Drama
280,113967,New Jersey Drive (1995),6.7,Crime|Drama
282,106402,Beyond Bedlam (1994),3.4,Comedy|Horror
284,110671,Nina Takes a Lover (1994),5.7,Comedy|Romance
285,110632,Natural Born Killers (1994),7.3,Crime|Drama
286,110737,Only You (1994),6.5,Comedy|Romance
287,110729,Once Were Warriors (1994),7.9,Crime|Drama
289,114069,Outbreak (1995),6.6,Action|Drama|Thriller
292,114210,A Pyromaniac's Love Story (1995),5.4,Comedy|Romance
293,110912,Pulp Fiction (1994),8.9,Crime|Drama
294,114084,Panther (1995),6.4,Drama
295,105652,Tui shou (1992),7.3,Comedy|Drama
296,110889,Priest (1994),7.1,Drama|Romance
297,110932,Quiz Show (1994),7.5,Biography|Drama|History
298,114129,Picture Bride (1994),6.8,Drama|Romance
299,110963,Queen Margot (1994),7.5,Biography|Crime|Drama
300,114214,The Quick and the Dead (1995),6.4,Action|Romance|Thriller
301,114296,Roommates (1995),6.4,Comedy|Drama
302,110907,Ready to Wear (1994),5.0,Comedy|Drama
303,111495,Three Colors: Red (1994),8.1,Drama|Mystery|Romance
305,111507,Three Colors: White (1994),7.7,Comedy|Drama|Romance
306,110769,Pao Da Shuang Deng (1994),7.0,Drama|Romance
307,114268,Rent-a-Kid (1995),5.4,Drama|Family|Comedy
308,110965,Relative Fear (1994),5.7,Drama|Horror|Thriller
309,114571,Stuart Saves His Family (1995),5.3,Comedy|Drama
310,111333,The Swan Princess (1994),6.4,Animation|Comedy|Family
311,111112,The Secret of Roan Inish (1994),7.5,Drama|Family|Fantasy
313,111282,Stargate (1994),7.1,Action|Adventure|Sci-Fi
314,111070,The Santa Clause (1994),6.4,Comedy|Drama|Family
316,111149,Shallow Grave (1994),7.4,Crime|Thriller
317,108260,Suture (1993),6.7,Drama|Thriller
318,106966,Strawberry and Chocolate (1993),7.5,Comedy|Drama|Romance
319,114594,Swimming with Sharks (1994),7.1,Comedy|Crime
320,111309,The Sum of Us (1994),7.4,Comedy|Drama
321,113936,Senior Trip (1995),5.6,Adventure|Comedy
323,114614,Tank Girl (1995),5.2,Action|Comedy|Sci-Fi
324,114608,Tales from the Crypt: Demon Knight (1995),6.7,Action|Fantasy|Horror
326,114609,Tales from the Hood (1995),6.2,Crime|Horror|Thriller
327,111454,Tom & Viv (1994),6.5,Biography|Drama|Romance
329,114694,Tommy Boy (1995),7.0,Adventure|Comedy
330,111590,Vanya on 42nd Street (1994),7.5,Comedy|Drama|Romance
331,114788,The Underneath (1995),6.2,Crime|Thriller
333,108550,What's Eating Gilbert Grape (1993),7.8,Drama
335,114924,While You Were Sleeping (1995),6.7,Comedy|Drama|Romance
336,111667,The War (1994),6.7,Drama
338,110598,Muriel's Wedding (1994),7.2,Comedy|Drama|Romance
339,112435,The Baby-Sitters Club (1995),5.7,Comedy|Drama|Family
341,109045,"The Adventures of Priscilla, Queen of the Desert (1994)",7.5,Comedy|Music
342,106339,Backbeat (1994),6.7,Biography|Drama|Music
343,104779,Bitter Moon (1992),7.1,Drama|Romance|Thriller
344,109348,Bullets Over Broadway (1994),7.5,Comedy|Crime
345,109444,Clear and Present Danger (1994),6.9,Action|Crime|Drama
346,109446,The Client (1994),6.7,Crime|Drama|Mystery
348,109504,Crooklyn (1994),6.9,Comedy|Drama
349,109506,The Crow (1994),7.6,Action|Drama|Fantasy
350,109450,Cobb (1994),6.5,Biography|Drama|Sport
351,109813,The Flintstones (1994),4.8,Comedy|Family|Fantasy
353,109831,Four Weddings and a Funeral (1994),7.1,Comedy|Drama|Romance
356,110093,I Love Trouble (1994),5.2,Action|Comedy|Romance
357,110167,It Could Happen to You (1994),6.3,Comedy|Drama|Romance
358,110213,The Jungle Book (1994),6.0,Adventure|Family|Romance
360,110357,The Lion King (1994),8.5,Animation|Adventure|Drama
361,107426,Little Buddha (1993),6.0,Drama
362,111686,New Nightmare (1994),6.4,Fantasy|Horror|Mystery
363,110475,The Mask (1994),6.9,Comedy|Family|Fantasy
364,110478,Maverick (1994),7.0,Action|Adventure|Comedy
366,110622,Naked Gun 33 1/3: The Final Insult (1994),6.4,Comedy|Crime
367,110771,The Paper (1994),6.6,Comedy|Drama
368,110950,Reality Bites (1994),6.6,Comedy|Drama|Romance
370,110989,Ri¢hie Ri¢h (1994),5.2,Comedy|Family
371,111054,Safe Passage (1994),6.4,Drama
372,110997,The River Wild (1994),6.3,Action|Adventure|Crime
373,111257,Speed (1994),7.2,Action|Adventure|Crime
374,111256,Speechless (1994),5.7,Comedy|Romance
375,111438,Timecop (1994),5.8,Action|Crime|Sci-Fi
376,111503,True Lies (1994),7.2,Action|Comedy|Thriller
377,111693,When a Man Loves a Woman (1994),6.5,Drama|Romance
378,111742,Wolf (1994),6.2,Drama|Horror|Romance
380,112443,Bad Company (1995),5.4,Crime|Drama|Thriller
381,110455,A Man of No Importance (1994),6.9,Comedy|Drama
382,111048,S.F.W. (1994),5.9,Comedy|Drama
383,110399,A Low Down Dirty Shame (1994),5.8,Action|Comedy|Crime
384,112570,"Boys Life: Three Stories of Love, Lust, and Liberation (1994)",7.2,Drama
385,109454,Colonel Chabert (1994),7.0,Drama|History|Romance
386,59170,"Faster, Pussycat! Kill! Kill! (1965)",6.8,Action|Comedy
387,110186,Jason's Lyric (1994),6.6,Crime|Drama|Romance
388,108069,The Secret Adventures of Tom Thumb (1993),7.4,Animation|Adventure|Sci-Fi
389,111301,Street Fighter (1994),3.8,Action|Adventure|Comedy
390,112702,Coldblooded (1995),6.8,Action|Comedy|Thriller
391,112849,Desert Winds (1994),5.8,Drama|Mystery|Romance
392,113014,Fall Time (1995),5.5,Drama|Comedy|Crime
393,113043,The Fear (1995),3.4,Horror
394,113104,Frank and Ollie (1995),8.0,Documentary
396,113319,Homage (1995),6.0,Drama|Thriller
399,112889,Dos crí_menes (1994),7.3,Comedy|Crime|Drama
400,109339,Brother Minister: The Assassination of Malcolm X (1994),7.3,Documentary
401,110027,Highlander: The Final Dimension (1994),4.3,Action|Fantasy|Romance
402,109785,Federal Hill (1994),6.3,Crime|Drama
403,113409,In the Mouth of Madness (1994),7.2,Fantasy|Horror|Mystery
404,109021,8 Seconds (1994),6.5,Biography|Drama|Sport
406,106220,Addams Family Values (1993),6.6,Comedy|Fantasy
407,111804,Martin Lawrence: You So Crazy (1994),6.6,Documentary|Comedy
410,109067,The Air Up There (1994),5.5,Comedy|Family|Sport
411,106292,Another Stakeout (1993),5.5,Action|Comedy|Crime
412,109198,Bad Girls (1994),5.1,Romance|Western
413,109219,Barcelona (1994),7.0,Comedy|Drama|Romance
414,106379,Being Human (1994),5.4,Comedy|Drama
416,109254,Beverly Hills Cop III (1994),5.5,Action|Comedy|Crime
417,109279,Black Beauty (1994),6.6,Adventure|Drama|Family
418,109297,Blink (1993),6.2,Crime|Drama|Mystery
419,109303,Blown Away (1994),6.2,Action|Crime|Drama
420,109305,Blue Chips (1994),6.1,Drama|Sport
421,109306,Blue Sky (1994),6.4,Drama|Romance
422,106452,Body Snatchers (1993),5.9,Horror|Sci-Fi
423,106471,Boxing Helena (1993),4.6,Drama|Mystery|Romance
425,109361,Cabin Boy (1994),5.1,Adventure|Comedy|Romance
428,109439,City Slickers II: The Legend of Curly's Gold (1994),5.4,Comedy|Western
430,106582,Cliffhanger (1993),6.4,Action|Adventure|Thriller
431,106598,Coneheads (1993),5.2,Comedy|Sci-Fi
432,109456,Color of Night (1994),5.1,Mystery|Romance|Thriller
434,109493,The Cowboy Way (1994),5.8,Action|Comedy|Crime
435,106660,Dangerous Game (1993),5.7,Drama
436,106673,Dave (1993),6.8,Comedy|Romance
437,106677,Dazed and Confused (1993),7.7,Comedy
438,106697,Demolition Man (1993),6.6,Action|Crime|Sci-Fi
439,109729,The Endless Summer 2 (1994),7.6,Documentary|Adventure|Sport
440,106834,Even Cowgirls Get the Blues (1993),4.3,Comedy|Drama|Romance
441,106873,Fatal Instinct (1993),5.7,Comedy|Crime|Thriller
442,106332,Farewell My Concubine (1993),8.1,Drama|Music|Romance
444,106881,Fearless (1993),7.1,Drama|Thriller
446,111732,With Honors (1994),6.7,Comedy|Drama
447,106926,Flesh and Bone (1993),6.2,Drama|Mystery|Romance
449,106941,For Love or Money (1993),6.1,Comedy|Drama|Romance
451,106965,Free Willy (1993),5.9,Adventure|Drama|Family
452,109842,Fresh (1994),7.7,Crime|Drama|Thriller
453,106977,The Fugitive (1993),7.8,Action|Crime|Drama
455,109890,The Getaway (1994),5.7,Action|Adventure|Crime
456,109891,Getting Even with Dad (1994),4.6,Comedy|Crime|Family
457,109913,Go Fish (1994),5.6,Drama|Romance
458,109920,A Good Man in Africa (1994),5.0,Comedy
459,107057,Guilty as Sin (1993),5.5,Crime|Drama|Thriller
461,107096,Heaven & Earth (1993),6.8,Action|Biography|Drama
462,107144,Hot Shots! Part Deux (1993),6.6,Action|Comedy
463,113674,Live Nude Girls (1995),5.4,Comedy
466,110064,House Party 3 (1994),4.1,Comedy|Music|Romance
467,110074,The Hudsucker Proxy (1994),7.3,Comedy|Drama|Fantasy
468,110097,I'll Do Anything (1994),5.6,Comedy|Drama
469,110123,In the Army Now (1994),4.8,Comedy|War
470,107206,In the Line of Fire (1993),7.2,Action|Drama|Thriller
472,110137,The Inkwell (1994),6.5,Romance|Comedy|Drama
473,108551,What's Love Got to Do with It (1993),7.2,Biography|Drama|Music
475,107286,Judgment Night (1993),6.6,Action|Crime|Drama
476,107290,Jurassic Park (1993),8.1,Adventure|Sci-Fi|Thriller
477,107302,Kalifornia (1993),6.7,Crime|Drama|Thriller
480,110305,Lassie (1994),5.9,Family|Adventure
481,107362,Last Action Hero (1993),6.2,Action|Adventure|Comedy
483,110353,Lightning Jack (1994),5.4,Comedy|Western
485,107478,Made in America (1993),4.9,Comedy
487,107501,The Man Without a Face (1993),6.7,Drama
488,107507,Manhattan Murder Mystery (1993),7.4,Comedy|Mystery
489,107554,Menace II Society (1993),7.5,Crime|Drama|Thriller
490,116253,Executive Decision (1996),6.4,Action|Adventure|Thriller
491,74102,In the Realm of the Senses (1976),6.6,Biography|Drama|Horror
493,107616,Much Ado About Nothing (1993),7.4,Comedy|Drama|Romance
494,107611,Mr. Jones (1993),5.8,Drama|Romance
495,107613,Mr. Wonderful (1993),5.9,Comedy|Romance
496,107614,Mrs. Doubtfire (1993),6.9,Comedy|Drama|Family
497,107653,Naked (1993),7.9,Comedy|Drama
499,110649,The New Age (1994),5.8,Comedy|Drama
500,110678,No Escape (1994),6.1,Action|Drama|Sci-Fi
501,110687,North (1994),4.4,Adventure|Comedy|Drama
502,107756,Orlando (1992),7.2,Biography|Drama|Fantasy
503,107808,A Perfect World (1993),7.5,Crime|Drama|Thriller
505,107822,The Piano (1993),7.6,Drama|Music|Romance
506,107840,Poetic Justice (1993),5.9,Drama|Romance
507,107889,The Program (1993),6.4,Action|Drama|Sport
508,111003,The Puppet Masters (1994),5.9,Horror|Sci-Fi|Thriller
509,110939,Radioland Murders (1994),6.2,Comedy|Crime|Drama
510,110955,The Ref (1994),6.9,Comedy|Crime|Drama
511,107943,The Remains of the Day (1993),7.9,Drama|Romance
512,110971,Renaissance Man (1994),6.1,Comedy|Drama
513,107969,Rising Sun (1993),6.2,Action|Crime|Drama
514,111001,The Road to Wellville (1994),5.7,Comedy|Drama
515,107978,RoboCop 3 (1993),3.9,Action|Crime|Sci-Fi
516,107977,Robin Hood: Men in Tights (1993),6.7,Adventure|Comedy|Musical
517,107983,Romeo Is Bleeding (1993),6.6,Action|Crime|Drama
518,105275,Romper Stomper (1992),6.8,Crime|Drama
520,108002,Rudy (1993),7.5,Biography|Drama|Sport
521,108026,The Saint of Fort Washington (1993),7.2,Drama
523,108052,Schindler's List (1993),8.9,Biography|Drama|History
524,111094,The Scout (1994),5.3,Comedy|Drama|Sport
526,111102,Second Best (1994),7.1,Drama
527,108071,The Secret Garden (1993),7.3,Drama|Family|Fantasy
528,111127,Serial Mom (1994),6.7,Comedy|Crime|Horror
529,111143,The Shadow (1994),6.0,Action|Adventure|Crime
530,108101,Shadowlands (1993),7.4,Biography|Drama|Romance
531,108122,Short Cuts (1993),7.7,Comedy|Drama
532,111194,A Simple Twist of Fate (1994),6.3,Drama|Comedy
534,108149,Six Degrees of Separation (1993),6.9,Comedy|Drama|Mystery
535,108160,Sleepless in Seattle (1993),6.8,Comedy|Drama|Romance
537,83658,Blade Runner (1982),8.2,Sci-Fi|Thriller
538,108186,Son in Law (1993),5.7,Comedy|Drama|Romance
539,108174,So I Married an Axe Murderer (1993),6.4,Comedy|Romance
540,108238,Striking Distance (1993),5.8,Action|Crime|Mystery
541,89256,Harem (1985),4.7,Drama
542,108255,Super Mario Bros. (1993),4.0,Adventure|Comedy|Family
543,111323,Surviving the Game (1994),6.1,Action|Adventure|Crime
544,111400,Terminal Velocity (1994),5.4,Action|Comedy|Mystery
545,108328,Thirty Two Short Films About Glenn Gould (1993),7.5,Biography|Drama|Music
547,107688,The Nightmare Before Christmas (1993),8.0,Animation|Family|Fantasy
550,111488,Trial by Jury (1994),5.3,Thriller|Crime|Drama
554,107779,"Paris, France (1993)",5.3,Comedy|Drama
555,109226,"The Beans of Egypt, Maine (1994)",5.4,Drama
557,114906,Welcome to the Dollhouse (1995),7.5,Comedy|Drama
560,104029,Cronos (1993),6.7,Horror
561,110623,Naked in New York (1993),5.7,Comedy|Romance
562,107315,Kika (1993),6.5,Comedy
563,106408,Bhaji on the Beach (1993),6.5,Comedy|Drama
565,107349,The Slingshot (1993),6.5,Drama
567,109828,Foreign Student (1994),5.8,Drama
568,107225,"Ciao, Professore! (1992)",6.8,Comedy
569,111252,Spanking the Monkey (1994),6.3,Comedy|Drama
570,110366,The Little Rascals (1994),6.3,Comedy|Family|Romance
571,106878,íó la mode (1993),5.9,Comedy
572,109120,Andre (1994),5.7,Adventure|Drama|Family
573,108059,La scorta (1993),6.8,Crime|Drama|Thriller
